280;496;320.137470471671
257;509;433.14662644420997
209;489;784.5221475522536
259;479;810.0395052094682
209;481;856.4875947729774
325;487;1097.2164781846834
259;559;1248.75978474645
331;511;1359.779761579058
278;525;1515.21021643863
213;538;1520.0555910886944
218;537;1738.1051464166371
201;537;1919.2304447355978
245;535;9223372036854775807
295;486;9223372036854775807
231;473;9223372036854775807
344;473;9223372036854775807
311;512;9223372036854775807
314;557;9223372036854775807
312;533;9223372036854775807
